Provinsi,Jenis Faskes,Nama Faskes,Alamat Faskes
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RSU CUT NYAK DHIEN","JL. TM BAHRUM NO. 1 LANGSA"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RSIA NURUL QALBI","JL. SUDIRMAN NO. 12 LANGSA"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","UMMI","Jln. Prof. A. Madjid Ibrahim"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RSU CUT MEUTIA LANGSA","JL.GARUDA KEBUN BARU LANGSA"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RSU CUT MEUTIA IGD","JL. GARUDA KEBUN BARU,LANGSA"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RSU LANGSA","JLN.A.YANI NO.1 LANGSA"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RSU CUT NYAK DHIEN","TM.BAHRUM NO.1 LANGSA "
NANGGROE ACEH DARUSSALAM,"Rumah sakit","UMMI","PROF A. MADJID IBRAHIM NO.5"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RSU CUT MEUTIA LANGSA","GARUDA KEBUN BARU LANGSA"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RSU MUHAMMAD ALI KASIM","JL. PANGUR-SANGIR"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RSU NURUL HASANAH","A.YANI NO. 23 PULO KEMIRI "
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RSIA KELUARGA DESA ","JALAN ISKANDAR MUDA NO 58 KUTA"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","PMI",""
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RSUD dr. Zubir Mahmud","JALAN BANDA ACEH - MEDAN KM. 3"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RSUD SULTAN ABDUL AZIZ SYAH","JL. MEDAN BANDA ACEH"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","GRAHA BUNDA","JL MEDAN BANDA ACEH"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","GRAHA BUNDA","MEDAN - BANDA ACEH"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RSUD SULTAN ABDUL AZIZ SYAH","MEDAN-BANDA ACEH"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RSUD dr. Zubir Mahmud","MEDAN-BANDA ACEH KM 368 IDI"
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RSU DATU BERU TAKENGON","JL. QURRATA AINI. 153 "
NANGGROE ACEH DARUSSALAM,"Rumah sakit","RSU FANDIKA","JL.H.M.HASAN GAYO, LINGKUNGAN "
NANGGROE ACEH DARUSSALAM,"Rumah sakit","MONTELLA","JL. BERINGIN JAYA"
